Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
31009;Place Du Général De Gaulle;OUI;26;22;4;1;3;OUI;OUI;2025-10-24T18:53:08+00:00;48.8687591, 2.4329931;Montreuil;93048;
15109;Cevennes - Bergers;OUI;29;4;23;21;2;OUI;OUI;2025-10-24T18:58:44+00:00;48.84240765130395, 2.281037718057633;Paris;75056;
41302;Charles de Gaulle - Beauté;OUI;49;40;9;3;6;OUI;OUI;2025-10-24T18:57:12+00:00;48.83649602312711, 2.479562651149885;Nogent-sur-Marne;94052;
21209;Molière - République;OUI;30;23;6;0;6;OUI;OUI;2025-10-24T18:55:21+00:00;48.81111581390707, 2.3145738624448158;Montrouge;92049;
14020;Cimetière de Montrouge;OUI;58;42;16;1;15;OUI;OUI;2025-10-24T18:53:40+00:00;48.821466904768, 2.3215785772007;Paris;75056;
14012;Sibelle - Alésia;OUI;37;32;4;2;2;OUI;OUI;2025-10-24T18:58:07+00:00;48.826701758539215, 2.3384983465075493;Paris;75056;
33017;Anatole France - President Roosevelt;OUI;29;21;5;4;1;OUI;OUI;2025-10-24T18:55:08+00:00;48.9155156, 2.3814103;Aubervilliers;93001;
21005;Hôtel de Ville de Boulogne Billancourt;OUI;26;16;10;6;4;OUI;OUI;2025-10-24T18:55:09+00:00;48.83495885166784, 2.2416803240776066;Boulogne-Billancourt;92012;
33102;Gabriel Péri - Francisco Ferrer;OUI;18;13;5;0;5;OUI;OUI;2025-10-24T18:51:14+00:00;48.88633710236977, 2.407338917255402;Le Pré-Saint-Gervais;93061;
19103;Manin - Carrières d'Amérique;OUI;20;0;19;2;17;OUI;OUI;2025-10-24T18:56:44+00:00;48.884672142095, 2.3919698596001;Paris;75056;
